# run    charge (nC)   live time     live charge (nC)
  1471    168556  0.894318    150742
  1472    161215  0.897079    144622
  1473    128174  0.981029    125743
  1474    137455  0.897189    123322
  1475    130365  0.897046    116943
  1476    143299  0.896178    128421
  1477   84990.3   0.98091   83367.8
  1478    107820  0.896995   96713.6
  1479    160290  0.896578    143712
  1480    136898   0.89388    122370
  1481   93007.5  0.980811   91222.7
  1482    147495  0.894437    131924
  1483         0         0         0
  1484    100165  0.892023   89349.1
  1485    162718   0.89364    145411
  1486    119378  0.980986    117108
  1487    161293    0.8966    144615
  1488   84094.3  0.890403   74877.2
  1489   50805.3  0.893523   45394.9
  1490    128245  0.977671    125382
  1491   57098.1  0.893235   51001.8
  1492   7914.07  0.891537   7055.82
  1495   56843.9   0.89466     50856
  1496   51288.8  0.981035   50316.1
  1498   3206.41  0.911794   2923.54
  1501   763.416   0.91233   696.498
  1502         0         0         0
  1503    126010  0.981997    123741
  1505         0         0         0
  1506   66435.8   0.92312   61327.9
  1507    146358  0.923381    135143
  1508    125134  0.922955    115492
  1509   66977.1  0.985907   66033.2
  1510    118610  0.923387    109522
  1511   20060.3  0.923487   18525.3
  1512   97016.3  0.923494   89593.5
  1513   19999.9   0.92327   18465.2
  1514   67175.7  0.985939   66231.2
  1515    136497  0.978733    133595
  1516   84052.2   0.89717   75408.4
